pcr_id	sample_id	sediment	type	control_type
MS013P.14	BE110	BS19.12	sample	NA
MS013P.15	BE111	BS19.12	sample	NA
MS013P.16	NTC	NA	control	pcr
MS014P.1	BE112	NA	control	extraction
MS027P.16	BE115	BS19.28	sample	NA
MS027P.17	BE116	BS19.28	sample	NA
MS027P.18	BE117	BS19.31	sample	NA
MS027P.19	BE118	BS19.31	sample	NA
MS027P.20	BE119	BS19.34	sample	NA
MS027P.21	BE120	BS19.34	sample	NA
MS027P.22	BE121	BS19.36	sample	NA
MS027P.23	BE122	BS19.36	sample	NA
MS027P.24	BE123	NA	control	extraction
MS027P.25	NTC	NA	control	pcr
MS014P.2	BE036	BS19.1	sample	NA
MS014P.3	BE037	BS19.1	sample	NA
MS014P.4	BE038	BS19.8	sample	NA
MS014P.5	BE039	BS19.8	sample	NA
MS014P.6	BE040	BS19.13	sample	NA
MS014P.7	BE041	BS19.13	sample	NA
MS014P.8	BE042	BS19.17	sample	NA
MS014P.9	BE043	BS19.17	sample	NA
MS014P.10	BE044	BS19.22	sample	NA
MS014P.11	BE045	BS19.22	sample	NA
MS014P.12	BE046	NA	control	extraction
MS014P.13	BE047	BS19.37	sample	NA
MS014P.14	BE048	BS19.4	sample	NA
MS014P.15	BE049	BS19.43	sample	NA
MS014P.16	NTC	NA	control	pcr
MS028P.1	BE050	BS19.46	sample	NA
MS028P.2	BE051	BS19.51	sample	NA
MS028P.3	BE052	NA	control	extraction
MS028P.4	BE053	BS19.3	sample	NA
MS028P.5	BE054	BS19.35	sample	NA
MS028P.6	BE055	BS19.48	sample	NA
MS028P.7	BE056	BS19.55	sample	NA
MS028P.8	BE057	BS19.58	sample	NA
MS028P.9	BE058	BS19.37	sample	NA
MS028P.10	BE059	BS19.4	sample	NA
MS028P.11	BE060	BS19.43	sample	NA
MS028P.12	BE061	BS19.46	sample	NA
MS028P.13	BE062	BS19.51	sample	NA
MS028P.14	BE063	BS19.3	sample	NA
MS028P.15	BE064	BS19.35	sample	NA
MS028P.16	BE065	BS19.48	sample	NA
MS028P.17	BE066	BS19.55	sample	NA
MS028P.18	BE067	BS19.58	sample	NA
MS028P.19	BE068	NA	control	extraction
MS028P.20	BE069	BS19.27	sample	NA
MS028P.21	BE070	BS19.27	sample	NA
MS028P.22	BE071	BS19.33	sample	NA
MS028P.23	BE072	BS19.33	sample	NA
MS028P.24	BE073	BS19.42	sample	NA
MS028P.25	BE074	BS19.42	sample	NA
MS028P.26	BE075	BS19.49	sample	NA
MS028P.27	BE076	BS19.49	sample	NA
MS028P.28	BE077	BS19.6	sample	NA
MS028P.29	BE078	BS19.6	sample	NA
MS028P.30	BE079	NA	control	extraction
MS028P.31	NTC	NA	control	pcr
MS019P.1	BE080	BS19.7	sample	NA
MS019P.2	BE081	BS19.7	sample	NA
MS019P.3	BE082	BS19.15	sample	NA
MS019P.4	BE083	BS19.15	sample	NA
MS019P.5	BE084	BS19.18	sample	NA
MS019P.6	BE085	BS19.18	sample	NA
MS019P.7	BE086	BS19.45	sample	NA
MS019P.8	BE087	BS19.45	sample	NA
MS019P.9	BE088	BS19.52	sample	NA
MS019P.10	BE089	BS19.52	sample	NA
MS019P.11	BE090	NA	control	extraction
MS019P.12	BE091	BS19.21	sample	NA
MS019P.13	BE092	BS19.21	sample	NA
MS019P.14	BE093	BS19.24	sample	NA
MS019P.15	BE094	BS19.24	sample	NA
MS019P.16	NTC	NA	control	pcr
MS029P.1	BE095	BS19.62.1	sample	NA
MS029P.2	BE096	BS19.62.1	sample	NA
MS029P.3	BE097	BS19.65.1	sample	NA
MS029P.4	BE098	BS19.65.1	sample	NA
MS029P.5	BE099	BS19.68.1	sample	NA
MS029P.6	BE100	BS19.68.1	sample	NA
MS029P.7	BE101	NA	control	extraction
MS029P.8	BE102	BS19.2	sample	NA
MS029P.9	BE103	BS19.2	sample	NA
MS029P.10	BE104	BS19.4	sample	NA
MS029P.11	BE105	BS19.4	sample	NA
MS029P.12	BE106	BS19.9	sample	NA
MS029P.13	BE107	BS19.9	sample	NA
MS029P.14	BE108	BS19.1	sample	NA
MS029P.15	BE109	BS19.1	sample	NA
MS021P.1	BE110	BS19.12	sample	NA
MS021P.2	BE111	BS19.12	sample	NA
MS021P.3	BE112	NA	control	extraction
MS021P.4	BE113	BS19.26	sample	NA
MS021P.5	BE114	BS19.26	sample	NA
MS021P.6	BE115	BS19.28	sample	NA
MS021P.7	BE116	BS19.28	sample	NA
MS021P.8	BE117	BS19.31	sample	NA
MS021P.9	BE118	BS19.31	sample	NA
MS021P.10	BE119	BS19.34	sample	NA
MS021P.11	BE120	BS19.34	sample	NA
MS021P.12	BE121	BS19.36	sample	NA
MS021P.13	BE122	BS19.36	sample	NA
MS021P.14	BE123	NA	control	extraction
MS029P.30	BE036	BS19.1	sample	NA
MS029P.31	NTC	NA	control	pcr
MS027P.1	BE037	BS19.1	sample	NA
MS027P.2	BE038	BS19.8	sample	NA
MS027P.3	BE039	BS19.8	sample	NA
MS027P.4	BE040	BS19.13	sample	NA
MS027P.5	BE041	BS19.13	sample	NA
MS027P.6	BE042	BS19.17	sample	NA
MS027P.7	BE043	BS19.17	sample	NA
MS027P.8	BE044	BS19.22	sample	NA
MS027P.9	BE045	BS19.22	sample	NA
MS027P.10	BE046	NA	control	extraction
MS027P.11	BE047	BS19.37	sample	NA
MS027P.12	BE048	BS19.4	sample	NA
MS027P.13	BE049	BS19.43	sample	NA
MS027P.14	BE113	BE19.26	sample	NA
MS027P.15	BE114	BE19.26	sample	NA
MS021P.15	BE050	BS19.46	sample	NA
MS021P.16	NTC	NA	control	pcr
MS022P.1	BE051	BS19.51	sample	NA
MS022P.2	BE052	NA	control	extraction
MS022P.3	BE053	BS19.3	sample	NA
MS022P.4	BE054	BS19.35	sample	NA
MS022P.5	BE055	BS19.48	sample	NA
MS022P.6	BE056	BS19.55	sample	NA
MS022P.7	BE057	BS19.58	sample	NA
MS022P.8	BE058	BS19.37	sample	NA
MS022P.9	BE059	BS19.4	sample	NA
MS022P.10	BE060	BS19.43	sample	NA
MS022P.11	BE061	BS19.46	sample	NA
MS022P.12	BE062	BS19.51	sample	NA
MS022P.13	BE063	BS19.3	sample	NA
MS022P.14	BE064	BS19.35	sample	NA
MS018P.1	BE065	BS19.48	sample	NA
MS018P.2	BE066	BS19.55	sample	NA
MS018P.3	BE067	BS19.58	sample	NA
MS018P.4	BE068	NA	control	extraction
MS018P.5	BE069	BS19.27	sample	NA
MS018P.6	BE070	BS19.27	sample	NA
MS018P.7	BE071	BS19.33	sample	NA
MS018P.8	BE072	BS19.33	sample	NA
MS018P.9	BE073	BS19.42	sample	NA
MS018P.10	BE074	BS19.42	sample	NA
MS018P.11	BE075	BS19.49	sample	NA
MS018P.12	BE076	BS19.49	sample	NA
MS018P.13	BE077	BS19.6	sample	NA
MS018P.14	BE078	BS19.6	sample	NA
MS018P.15	BE079	NA	control	extraction
MS018P.16	NTC	NA	control	pcr
MS023P.1	BE080	BS19.7	sample	NA
MS023P.2	BE081	BS19.7	sample	NA
MS023P.3	BE082	BS19.15	sample	NA
MS023P.4	BE083	BS19.15	sample	NA
MS023P.5	BE084	BS19.18	sample	NA
MS023P.6	BE085	BS19.18	sample	NA
MS023P.7	BE086	BS19.45	sample	NA
MS023P.8	BE087	BS19.45	sample	NA
MS023P.9	BE088	BS19.52	sample	NA
MS023P.10	BE089	BS19.52	sample	NA
MS023P.11	BE090	NA	control	extraction
MS023P.12	BE091	BS19.21	sample	NA
MS023P.13	BE092	BS19.21	sample	NA
MS023P.14	BE093	BS19.24	sample	NA
MS023P.15	BE094	BS19.24	sample	NA
MS023P.16	NTC	NA	control	pcr
MS024P.1	BE095	BS19.62.1	sample	NA
MS024P.2	BE096	BS19.62.1	sample	NA
MS024P.3	BE097	BS19.65.1	sample	NA
MS024P.4	BE098	BS19.65.1	sample	NA
MS024P.5	BE099	BS19.68.1	sample	NA
MS024P.6	BE100	BS19.68.1	sample	NA
MS024P.7	BE101	NA	control	extraction
MS024P.8	BE102	BS19.2	sample	NA
MS024P.9	BE103	BS19.2	sample	NA
MS024P.10	BE104	BS19.4	sample	NA
MS024P.11	BE105	BS19.4	sample	NA
MS024P.12	BE106	BS19.9	sample	NA
MS024P.13	BE107	BS19.9	sample	NA
MS024P.14	BE108	BS19.1	sample	NA
MS024P.15	BE109	BS19.1	sample	NA
MS024P.16	NTC	NA	control	pcr
MS029P.16	BE110	BS19.12	sample	NA
MS029P.17	BE111	BS19.12	sample	NA
MS029P.18	BE112	NA	control	extraction
MS029P.19	BE113	BS19.26	sample	NA
MS029P.20	BE114	BS19.26	sample	NA
MS029P.21	BE115	BS19.28	sample	NA
MS029P.22	BE116	BS19.28	sample	NA
MS029P.23	BE117	BS19.31	sample	NA
MS029P.24	BE118	BS19.31	sample	NA
MS029P.25	BE119	BS19.34	sample	NA
MS029P.26	BE120	BS19.34	sample	NA
MS029P.27	BE121	BS19.36	sample	NA
MS029P.28	BE122	BS19.36	sample	NA
MS029P.29	BE123	NA	control	extraction
MS052P.1	BE124	info_needed	sample	NA
MS052P.2	BE125	info_needed	sample	NA
MS052P.3	BE126	info_needed	sample	NA
MS052P.4	BE127	info_needed	sample	NA
MS052P.5	BE128	NA	control	extraction
MS052P.6	BE129	info_needed	sample	NA
MS052P.7	BE130	info_needed	sample	NA
MS052P.8	BE131	info_needed	sample	NA
MS052P.9	BE132	info_needed	sample	NA
MS052P.10	BE133	info_needed	sample	NA
MS052P.11	BE134	info_needed	sample	NA
MS052P.12	BE135	info_needed	sample	NA
MS052P.13	BE136	info_needed	sample	NA
MS052P.14	BE137	info_needed	sample	NA
MS052P.15	BE138	info_needed	sample	NA
MS052P.16	BE139	NA	control	extraction
MS052P.17	NTC	NA	control	pcr
MS053P.1	BE124	info_needed	sample	NA
MS053P.2	BE125	info_needed	sample	NA
MS053P.3	BE126	info_needed	sample	NA
MS053P.4	BE127	info_needed	sample	NA
MS053P.5	BE128	NA	control	extraction
MS053P.6	BE129	info_needed	sample	NA
MS053P.7	BE130	info_needed	sample	NA
MS053P.8	BE131	info_needed	sample	NA
MS053P.9	BE132	info_needed	sample	NA
MS053P.10	BE133	info_needed	sample	NA
MS053P.11	BE134	info_needed	sample	NA
MS053P.12	BE135	info_needed	sample	NA
MS053P.13	BE136	info_needed	sample	NA
MS053P.14	BE137	info_needed	sample	NA
MS053P.15	BE138	info_needed	sample	NA
MS053P.16	BE139	NA	control	extraction
MS053P.17	NTC	NA	control	pcr
MS054P.1	BE124	info_needed	sample	NA
MS054P.2	BE125	info_needed	sample	NA
MS054P.3	BE126	info_needed	sample	NA
MS054P.4	BE127	info_needed	sample	NA
MS054P.5	BE128	NA	control	extraction
MS054P.6	BE129	info_needed	sample	NA
MS054P.7	BE130	info_needed	sample	NA
MS054P.8	BE131	info_needed	sample	NA
MS054P.9	BE132	info_needed	sample	NA
MS054P.10	BE133	info_needed	sample	NA
MS054P.11	BE134	info_needed	sample	NA
MS054P.12	BE135	info_needed	sample	NA
MS054P.13	BE136	info_needed	sample	NA
MS054P.14	BE137	info_needed	sample	NA
MS054P.15	BE138	info_needed	sample	NA
MS054P.16	BE139	NA	control	extraction
MS054P.17	NTC	NA	control	pcr
MS022P.15	BE065	BS19.48	sample	NA
MS022P.16	NTC	NA	control	pcr
